Name of Sender,Name of Receiver,Parcel ID,Order Date,Tracking Number,Status,Current Location,Estimated Delivery Date,Last Update,Sender ID,Sender Address,Recipient ID,Recipient Address,Recipient Contact,Weight (kg),Dimensions (LxWxH in cm),Parcel Type,Declared Value,Shipping Method,Shipping Cost,Insurance Cost,Customs Fee,Payment Status,Warehouse ID,Carrier ID,Transit Times,Delivery Agent ID,Delivery Date,Delivery Attempt Count,Delivery Notes,Delivery Confirmation
John Doe,Jane Smith,P12345678,2024-10-20,TRK001,In Transit,"Manila, PH",2024-10-24,2024-10-23,S78901,"123 Makati Ave, Makati, PH",R54321,"456 Ortigas Ave, Pasig, PH",+63-912-345-6789,2.5,30x20x10,Fragile,1200.0,Express,300.0,50.0,0.0,Paid,WH001,C001,2024-10-20 09:00 (Makati) - 2024-10-22 10:00 (Pasay),DA001,,1,Attempted delivery; no answer,
Michael Brown,Emily Johnson,P87654321,2024-10-18,TRK002,Delivered,-,2024-10-21,2024-10-21,S34567,"789 Quezon Blvd, Quezon, PH",R67890,"123 Ayala Ave, Makati, PH",+63-917-123-4567,5.0,40x30x15,Standard,2500.0,Standard,150.0,75.0,0.0,Paid,WH002,C002,2024-10-19 15:00 (Quezon) - 2024-10-21 14:00 (Makati),DA002,2024-10-21,1,Left at reception,Signed by Reception
Sarah Lee,David Garcia,P23456789,2024-10-19,TRK003,Out for Delivery,"Pasig, PH",2024-10-22,2024-10-22,S65432,"456 Pasig St, Pasig, PH",R12345,"789 Bonifacio, Taguig, PH",+63-915-678-1234,0.8,15x10x5,Documents,500.0,Overnight,200.0,25.0,0.0,Paid,WH003,C003,2024-10-19 10:00 (Pasig) - 2024-10-22 09:00 (Taguig),DA003,,0,,
Chris Wilson,Olivia Adams,P34567890,2024-10-21,TRK004,Delayed,"Cebu, PH",2024-10-23,2024-10-22,S98765,"111 Cebu Rd, Cebu, PH",R09876,"222 Mactan St, Cebu, PH",+63-916-234-5678,10.0,60x40x35,Perishable,3000.0,Standard,400.0,100.0,50.0,Pending,WH004,C004,2024-10-21 12:00 (Cebu) - Pending,DA004,,0,Awaiting clearance,
Sophia Williams,Liam Miller,P45678901,2024-10-22,TRK005,In Transit,"Davao, PH",2024-10-25,2024-10-22,S43210,"555 Davao Rd, Davao, PH",R56789,"333 Roxas Ave, Davao, PH",+63-918-876-5432,3.2,35x25x20,Electronics,1800.0,Express,350.0,60.0,0.0,Paid,WH005,C005,2024-10-22 08:00 (Davao) - 2024-10-23 11:00 (Davao),DA005,,1,,
James Harris,Charlotte Davis,P56789012,2024-10-23,TRK006,In Transit,"Makati, PH",2024-10-26,2024-10-23,S56789,"223 Makati Ave, Makati, PH",R67891,"112 Bonifacio St, Taguig, PH",+63-917-654-3210,7.4,45x30x25,Furniture,5000.0,Standard,450.0,80.0,0.0,Paid,WH006,C006,2024-10-23 08:00 (Makati) - 2024-10-24 15:00 (Taguig),DA006,,1,Delivered to front desk,Signed by Reception
Emma Clark,Lucas Turner,P67890123,2024-10-21,TRK007,Delivered,-,2024-10-24,2024-10-24,S87654,"432 Quezon Ave, Quezon, PH",R78901,"123 Quezon Blvd, Makati, PH",+63-915-234-5678,3.5,50x30x15,Fragile,1500.0,Overnight,350.0,45.0,0.0,Paid,WH007,C007,2024-10-21 09:00 (Quezon) - 2024-10-24 11:00 (Makati),DA007,2024-10-24,2,Left with neighbor,Signed by Neighbor
Daniel Carter,Grace Robinson,P78901234,2024-10-19,TRK008,Delayed,"Davao, PH",2024-10-22,2024-10-21,S12345,"123 Davao Rd, Davao, PH",R23456,"456 Bonifacio Ave, Makati, PH",+63-918-345-6789,4.2,40x30x20,Documents,800.0,Express,400.0,50.0,0.0,Paid,WH008,C008,2024-10-19 10:00 (Davao) - Pending,DA008,,0,Awaiting clearance,
Isabella Turner,Mason Scott,P89012345,2024-10-20,TRK009,In Transit,"Manila, PH",2024-10-24,2024-10-23,S23456,"789 Pasig Blvd, Pasig, PH",R34567,"101 Ayala Ave, Makati, PH",+63-919-876-5432,6.0,55x35x25,Electronics,2500.0,Standard,400.0,70.0,0.0,Paid,WH009,C009,2024-10-20 08:00 (Pasig) - 2024-10-23 10:00 (Makati),DA009,,1,,
Oliver Martinez,Sophia Taylor,P90123456,2024-10-20,TRK010,Delivered,"Makati, PH",2024-10-23,2024-10-22,S65432,"999 Makati Ave, Makati, PH",R87654,"777 Ayala Ave, Makati, PH",+63-917-765-4321,2.2,25x20x10,Standard,800.0,Standard,200.0,40.0,0.0,Paid,WH010,C010,2024-10-20 10:00 (Makati) - 2024-10-22 13:00 (Makati),DA010,2024-10-22,1,Delivered to office,Signed by Reception
Ava King,Logan Green,P10123457,2024-10-21,TRK011,In Transit,"Cebu, PH",2024-10-25,2024-10-23,S23489,"111 Cebu Ave, Cebu, PH",R23458,"123 Mactan St, Cebu, PH",+63-916-678-5432,3.1,40x25x15,Electronics,1500.0,Overnight,250.0,50.0,0.0,Paid,WH011,C011,2024-10-21 11:00 (Cebu) - 2024-10-23 14:00 (Cebu),DA011,,0,Awaiting delivery,
Gabriel Wilson,Amelia White,P11234567,2024-10-19,TRK012,Out for Delivery,"Davao, PH",2024-10-22,2024-10-21,S43214,"222 Davao Ave, Davao, PH",R87645,"456 Makati Ave, Makati, PH",+63-919-654-3210,6.8,60x40x20,Fragile,1000.0,Standard,300.0,60.0,0.0,Paid,WH012,C012,2024-10-19 15:00 (Davao) - 2024-10-21 09:00 (Makati),DA012,,0,,
